"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2004","4042","","","ANTH","ANTH","B200","0378","","KAESTLE F","87","93","2.89","3.05","22","20.7","51.7","24.1","0.0","9","1","15","2","8","32","5","8","11","2","0","0","0","3","4","0","2","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","B301","0379","","DE LA COVA C","16","19","3.63","3.22","63","62.5","37.5","0.0","0.0","3","0","10","0","0","6","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","B301","0380","","EGELAND C","17","21","3.47","3.10","48","58.8","35.3","0.0","5.9","4","0","10","0","0","6","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","B464","0382","","HUNT K","21","25","3.45","3.43","76","57.1","38.1","4.8","0.0","4","4","2","6","2","4","2","1","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","B480","0383","","JAMISON P","15","16","3.58","3.12","56","66.7","26.7","6.7","0.0","1","1","8","1","0","4","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","B524","0384","","HUNT K","8","11","3.96","3.79","91","100.0","0.0","0.0","0.0","3","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","B600","0385","","KAESTLE F","9","9","3.97","3.79","100","100.0","0.0","0.0","0.0","0","1","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","E105","0360","","BRONDIZIO E","111","149","3.04","2.99","0","35.1","43.2","16.2","3.6","40","2","24","13","13","25","10","4","10","4","2","1","1","2","17","18","2","0","0","0","0","0","1","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","E105","0370","","FAIRBANKS J","20","36","3.62","3.19","0","70.0","25.0","5.0","0.0","16","0","13","1","0","4","1","0","1","0","0","0","0","0","7","7","0","0","2","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","E105","0371","","QUINTANA C","10","14","3.84","3.11","0","90.0","10.0","0.0","0.0","4","0","6","3","1","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","E200","0386","","PHILLIPS S","60","71","2.95","2.97","34","35.0","31.7","26.7","3.3","13","2","14","5","9","7","3","7","6","3","1","1","0","2","8","3","0","0","0","0","0","0","0","0","06-10-2004",
